total: 585
ok_export: 585
watertight_true: 569
failed: 0

data0186_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0186_mask_watertight.obj
data0187_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0187_mask_watertight.obj
data0188_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0188_mask_watertight.obj
data0190_mask.obj: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0190_mask_watertight.obj
data0191_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0191_mask_watertight.obj
data0193_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0193_mask_watertight.obj
data0195_mask.obj: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0195_mask_watertight.obj
data0196_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0196_mask_watertight.obj
data0197_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0197_mask_watertight.obj
data0198_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0198_mask_watertight.obj
data0199_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0199_mask_watertight.obj
data0200_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0200_mask_watertight.obj
data0201_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0201_mask_watertight.obj
data0202_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0202_mask_watertight.obj
data0204_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0204_mask_watertight.obj
data0205_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0205_mask_watertight.obj
data0206_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0206_mask_watertight.obj
data0207_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0207_mask_watertight.obj
data0208_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0208_mask_watertight.obj
data0209_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0209_mask_watertight.obj
data0210_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0210_mask_watertight.obj
data0211_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0211_mask_watertight.obj
data0212_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0212_mask_watertight.obj
data0213_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0213_mask_watertight.obj
data0214_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0214_mask_watertight.obj
