data0222: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0222_watertight.obj
data0223: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0223_watertight.obj
data0224: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0224_watertight.obj
data0225: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0225_watertight.obj
data0226: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0226_watertight.obj
data0227: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0227_watertight.obj
data0229: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0229_watertight.obj
data0230: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0230_watertight.obj
data0231: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0231_watertight.obj
data0233: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0233_watertight.obj
data0234: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0234_watertight.obj
data0235: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0235_watertight.obj
data0237: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0237_watertight.obj
data0238: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0238_watertight.obj
data0239: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0239_watertight.obj
data0240: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0240_watertight.obj
